Minuto,0,1,mean [kWh],std [kWh]
220,"345,0","186,0","265,5","79,5"
221,"339,0","186,0","262,5","76,5"
222,"339,0","177,0","258,0","81,0"
223,"219,0","174,0","196,5","22,5"
224,"216,0","288,0","252,0","36,0"
225,"207,0","288,0","247,5","40,5"
226,"207,0","288,0","247,5","40,5"
227,"195,0","288,0","241,5","46,5"
228,"192,0","285,0","238,5","46,5"
229,"183,0","405,0","294,0","111,0"
230,"177,0","405,0","291,0","114,0"
231,"174,0","405,0","289,5","115,5"
232,"168,0","399,0","283,5","115,5"
233,"165,0","273,0","219,0","54,0"
234,"168,0","150,0","159,0","9,0"
235,"165,0","153,0","159,0","6,0"
236,"165,0","150,0","157,5","7,5"
237,"162,0","150,0","156,0","6,0"
238,"156,0","144,0","150,0","6,0"
239,"153,0","144,0","148,5","4,5"
240,"153,0","144,0","148,5","4,5"
241,"150,0","138,0","144,0","6,0"
242,"270,0","135,0","202,5","67,5"
243,"261,0","135,0","198,0","63,0"
244,"261,0","135,0","198,0","63,0"
245,"258,0","138,0","198,0","60,0"
246,"255,0","138,0","196,5","58,5"
247,"252,0","255,0","253,5","1,5"
248,"252,0","249,0","250,5","1,5"
249,"129,0","363,0","246,0","117,0"
250,"246,0","369,0","307,5","61,5"
251,"246,0","246,0","246,0","0,0"
252,"243,0","246,0","244,5","1,5"
253,"246,0","123,0","184,5","61,5"
254,"246,0","243,0","244,5","1,5"
255,"246,0","240,0","243,0","3,0"
256,"240,0","237,0","238,5","1,5"
257,"243,0","231,0","237,0","6,0"
258,"243,0","231,0","237,0","6,0"
259,"243,0","228,0","235,5","7,5"
260,"114,0","228,0","171,0","57,0"
261,"111,0","228,0","169,5","58,5"
262,"111,0","225,0","168,0","57,0"
263,"111,0","102,0","106,5","4,5"
264,"111,0","102,0","106,5","4,5"
265,"108,0","102,0","105,0","3,0"
266,"105,0","222,0","163,5","58,5"
267,"102,0","222,0","162,0","60,0"
268,"102,0","222,0","162,0","60,0"
269,"99,0","222,0","160,5","61,5"
270,"216,0","225,0","220,5","4,5"
271,"213,0","225,0","219,0","6,0"
272,"210,0","228,0","219,0","9,0"
273,"207,0","228,0","217,5","10,5"
274,"327,0","108,0","217,5","109,5"
275,"321,0","108,0","214,5","106,5"
276,"321,0","108,0","214,5","106,5"
277,"318,0","108,0","213,0","105,0"
278,"198,0","108,0","153,0","45,0"
279,"75,0","228,0","151,5","76,5"
280,"195,0","228,0","211,5","16,5"
281,"192,0","225,0","208,5","16,5"
282,"192,0","225,0","208,5","16,5"
283,"192,0","225,0","208,5","16,5"
284,"72,0","102,0","87,0","15,0"
285,"69,0","102,0","85,5","16,5"
286,"66,0","102,0","84,0","18,0"
287,"63,0","219,0","141,0","78,0"
288,"63,0","219,0","141,0","78,0"
289,"63,0","219,0","141,0","78,0"
290,"63,0","99,0","81,0","18,0"
291,"63,0","96,0","79,5","16,5"
292,"57,0","96,0","76,5","19,5"
293,"177,0","213,0","195,0","18,0"
294,"174,0","213,0","193,5","19,5"
295,"294,0","216,0","255,0","39,0"
296,"294,0","93,0","193,5","100,5"
297,"288,0","330,0","309,0","21,0"
298,"528,0","330,0","429,0","99,0"
299,"408,0","450,0","429,0","21,0"
300,"405,0","570,0","487,5","82,5"
301,"405,0","450,0","427,5","22,5"
302,"288,0","567,0","427,5","139,5"
303,"285,0","444,0","364,5","79,5"
304,"168,0","564,0","366,0","198,0"
305,"291,0","441,0","366,0","75,0"
306,"291,0","441,0","366,0","75,0"
307,"171,0","441,0","306,0","135,0"
308,"171,0","318,0","244,5","73,5"
309,"291,0","321,0","306,0","15,0"
310,"294,0","198,0","246,0","48,0"
311,"294,0","192,0","243,0","51,0"
312,"174,0","312,0","243,0","69,0"
313,"174,0","189,0","181,5","7,5"
314,"174,0","186,0","180,0","6,0"
315,"54,0","186,0","120,0","66,0"
316,"174,0","66,0","120,0","54,0"
317,"174,0","63,0","118,5","55,5"
318,"414,0","180,0","297,0","117,0"
319,"531,0","180,0","355,5","175,5"
320,"531,0","180,0","355,5","175,5"
321,"531,0","177,0","354,0","177,0"
322,"531,0","297,0","414,0","117,0"
323,"411,0","297,0","354,0","57,0"
324,"411,0","177,0","294,0","117,0"
325,"171,0","174,0","172,5","1,5"
326,"171,0","174,0","172,5","1,5"
327,"168,0","291,0","229,5","61,5"
328,"168,0","534,0","351,0","183,0"
329,"288,0","534,0","411,0","123,0"
330,"408,0","654,0","531,0","123,0"
331,"408,0","654,0","531,0","123,0"
332,"405,0","654,0","529,5","124,5"
333,"525,0","534,0","529,5","4,5"
334,"522,0","534,0","528,0","6,0"
335,"402,0","291,0","346,5","55,5"
336,"402,0","414,0","408,0","6,0"
337,"519,0","414,0","466,5","52,5"
338,"876,0","294,0","585,0","291,0"
339,"876,0","414,0","645,0","231,0"
340,"636,0","654,0","645,0","9,0"
341,"276,0","774,0","525,0","249,0"
342,"156,0","894,0","525,0","369,0"
343,"156,0","1131,0","643,5","487,5"
344,"36,0","1014,0","525,0","489,0"
345,"153,0","1014,0","583,5","430,5"
346,"393,0","531,0","462,0","69,0"
347,"756,0","411,0","583,5","172,5"
348,"756,0","531,0","643,5","112,5"
349,"636,0","531,0","583,5","52,5"
350,"639,0","531,0","585,0","54,0"
351,"525,0","531,0","528,0","3,0"
352,"765,0","537,0","651,0","114,0"
353,"1008,0","417,0","712,5","295,5"
354,"768,0","657,0","712,5","55,5"
355,"645,0","897,0","771,0","126,0"
356,"639,0","780,0","709,5","70,5"
357,"765,0","657,0","711,0","54,0"
358,"522,0","537,0","529,5","7,5"
359,"522,0","300,0","411,0","111,0"
360,"522,0","300,0","411,0","111,0"
361,"642,0","183,0","412,5","229,5"
362,"642,0","303,0","472,5","169,5"
363,"645,0","300,0","472,5","172,5"
364,"408,0","540,0","474,0","66,0"
365,"405,0","417,0","411,0","6,0"
366,"168,0","417,0","292,5","124,5"
367,"168,0","657,0","412,5","244,5"
368,"165,0","777,0","471,0","306,0"
369,"165,0","897,0","531,0","366,0"
370,"48,0","897,0","472,5","424,5"
371,"288,0","1017,0","652,5","364,5"
372,"408,0","1017,0","712,5","304,5"
373,"528,0","1134,0","831,0","303,0"
374,"528,0","1134,0","831,0","303,0"
375,"768,0","1014,0","891,0","123,0"
376,"1011,0","1371,0","1191,0","180,0"
377,"1374,0","1254,0","1314,0","60,0"
378,"1374,0","1374,0","1374,0","0,0"
379,"1374,0","1377,0","1375,5","1,5"
380,"1257,0","1140,0","1198,5","58,5"
381,"1020,0","1380,0","1200,0","180,0"
382,"1380,0","1617,0","1498,5","118,5"
383,"1263,0","1497,0","1380,0","117,0"
384,"1143,0","1617,0","1380,0","237,0"
385,"1263,0","1737,0","1500,0","237,0"
386,"1266,0","1257,0","1261,5","4,5"
387,"1146,0","1137,0","1141,5","4,5"
388,"1266,0","1020,0","1143,0","123,0"
389,"1026,0","900,0","963,0","63,0"
390,"1626,0","1140,0","1383,0","243,0"
391,"1746,0","1860,0","1803,0","57,0"
392,"1989,0","1860,0","1924,5","64,5"
393,"1629,0","2460,0","2044,5","415,5"
394,"1869,0","2223,0","2046,0","177,0"
395,"1509,0","2103,0","1806,0","297,0"
396,"1632,0","1626,0","1629,0","3,0"
397,"1875,0","1029,0","1452,0","423,0"
398,"1515,0","909,0","1212,0","303,0"
399,"1875,0","1026,0","1450,5","424,5"
400,"1755,0","1029,0","1392,0","363,0"
401,"1755,0","1032,0","1393,5","361,5"
402,"2118,0","1152,0","1635,0","483,0"
403,"2238,0","1152,0","1695,0","543,0"
404,"2601,0","1032,0","1816,5","784,5"
405,"2121,0","1158,0","1639,5","481,5"
406,"1401,0","1275,0","1338,0","63,0"
407,"1281,0","1638,0","1459,5","178,5"
408,"1398,0","1998,0","1698,0","300,0"
409,"1275,0","2238,0","1756,5","481,5"
410,"1758,0","2121,0","1939,5","181,5"
411,"2001,0","2001,0","2001,0","0,0"
412,"2001,0","1878,0","1939,5","61,5"
413,"2121,0","1518,0","1819,5","301,5"
414,"2484,0","1638,0","2061,0","423,0"
415,"2364,0","1761,0","2062,5","301,5"
416,"2601,0","1884,0","2242,5","358,5"
417,"2484,0","1644,0","2064,0","420,0"
418,"2247,0","1884,0","2065,5","181,5"
419,"2247,0","2844,0","2545,5","298,5"
420,"1890,0","2964,0","2427,0","537,0"
421,"2007,0","3204,0","2605,5","598,5"
422,"2127,0","3207,0","2667,0","540,0"
423,"2484,0","2724,0","2604,0","120,0"
424,"2370,0","2844,0","2607,0","237,0"
425,"2487,0","1767,0","2127,0","360,0"
426,"2490,0","2004,0","2247,0","243,0"
427,"2733,0","2124,0","2428,5","304,5"
428,"2859,0","2001,0","2430,0","429,0"
429,"2502,0","2721,0","2611,5","109,5"
430,"2502,0","2961,0","2731,5","229,5"
431,"2622,0","2970,0","2796,0","174,0"
432,"2862,0","3330,0","3096,0","234,0"
433,"2985,0","3090,0","3037,5","52,5"
434,"2265,0","3450,0","2857,5","592,5"
435,"2265,0","3210,0","2737,5","472,5"
436,"2508,0","2733,0","2620,5","112,5"
437,"2631,0","2253,0","2442,0","189,0"
438,"2991,0","2139,0","2565,0","426,0"
439,"2994,0","1779,0","2386,5","607,5"
440,"3474,0","1779,0","2626,5","847,5"
441,"3354,0","2616,0","2985,0","369,0"
442,"3834,0","2856,0","3345,0","489,0"
443,"3954,0","2973,0","3463,5","490,5"
444,"4197,0","3336,0","3766,5","430,5"
445,"3960,0","3105,0","3532,5","427,5"
446,"4200,0","2985,0","3592,5","607,5"
447,"3726,0","2985,0","3355,5","370,5"
448,"3366,0","3345,0","3355,5","10,5"
449,"3009,0","2859,0","2934,0","75,0"
450,"3249,0","2496,0","2872,5","376,5"
451,"3129,0","2616,0","2872,5","256,5"
452,"3129,0","2493,0","2811,0","318,0"
453,"3375,0","2616,0","2995,5","379,5"
454,"3015,0","2859,0","2937,0","78,0"
455,"2295,0","2859,0","2577,0","282,0"
456,"2175,0","2979,0","2577,0","402,0"
457,"1818,0","2502,0","2160,0","342,0"
458,"1938,0","2385,0","2161,5","223,5"
459,"2073,0","2508,0","2290,5","217,5"
460,"2073,0","2391,0","2232,0","159,0"
461,"2562,0","2871,0","2716,5","154,5"
462,"3171,0","2754,0","2962,5","208,5"
463,"3774,0","2877,0","3325,5","448,5"
464,"4254,0","3117,0","3685,5","568,5"
465,"4371,0","2517,0","3444,0","927,0"
466,"4494,0","2754,0","3624,0","870,0"
467,"4497,0","3243,0","3870,0","627,0"
468,"3777,0","3363,0","3570,0","207,0"
469,"3420,0","4203,0","3811,5","391,5"
470,"3300,0","4323,0","3811,5","511,5"
471,"3540,0","4566,0","4053,0","513,0"
472,"3903,0","3486,0","3694,5","208,5"
473,"4377,0","3492,0","3934,5","442,5"
474,"3660,0","3849,0","3754,5","94,5"
475,"2943,0","3969,0","3456,0","513,0"
476,"2826,0","4332,0","3579,0","753,0"
477,"2826,0","4809,0","3817,5","991,5"
478,"3309,0","4575,0","3942,0","633,0"
479,"3906,0","5295,0","4600,5","694,5"
480,"4266,0","5298,0","4782,0","516,0"
481,"4266,0","5178,0","4722,0","456,0"
482,"4386,0","5544,0","4965,0","579,0"
483,"4269,0","5304,0","4786,5","517,5"
484,"4155,0","5427,0","4791,0","636,0"
485,"4395,0","5193,0","4794,0","399,0"
486,"4515,0","4836,0","4675,5","160,5"
487,"5358,0","4722,0","5040,0","318,0"
488,"5481,0","4245,0","4863,0","618,0"
489,"5247,0","4608,0","4927,5","319,5"
490,"4404,0","4377,0","4390,5","13,5"
491,"4767,0","4617,0","4692,0","75,0"
492,"5367,0","4743,0","5055,0","312,0"
493,"5379,0","4866,0","5122,5","256,5"
494,"5745,0","4632,0","5188,5","556,5"
495,"5502,0","4281,0","4891,5","610,5"
496,"5382,0","4164,0","4773,0","609,0"
497,"5268,0","4290,0","4779,0","489,0"
498,"5271,0","4407,0","4839,0","432,0"
499,"4911,0","4887,0","4899,0","12,0"
500,"4197,0","5007,0","4602,0","405,0"
501,"4077,0","4770,0","4423,5","346,5"
502,"4323,0","5490,0","4906,5","583,5"
503,"3600,0","5496,0","4548,0","948,0"
504,"3600,0","5259,0","4429,5","829,5"
505,"3483,0","5505,0","4494,0","1011,0"
506,"4686,0","5274,0","4980,0","294,0"
507,"4686,0","5394,0","5040,0","354,0"
508,"4686,0","4926,0","4806,0","120,0"
509,"5049,0","4689,0","4869,0","180,0"
510,"5415,0","4332,0","4873,5","541,5"
511,"5181,0","3852,0","4516,5","664,5"
512,"4587,0","3492,0","4039,5","547,5"
513,"4590,0","2772,0","3681,0","909,0"
514,"4470,0","2895,0","3682,5","787,5"
515,"4473,0","2895,0","3684,0","789,0"
516,"4476,0","3126,0","3801,0","675,0"
517,"4239,0","3252,0","3745,5","493,5"
518,"4602,0","3855,0","4228,5","373,5"
519,"4485,0","3978,0","4231,5","253,5"
520,"4128,0","3858,0","3993,0","135,0"
521,"4011,0","3750,0","3880,5","130,5"
522,"3534,0","3999,0","3766,5","232,5"
523,"4257,0","4002,0","4129,5","127,5"
524,"4503,0","5082,0","4792,5","289,5"
525,"4749,0","4959,0","4854,0","105,0"
526,"5103,0","5439,0","5271,0","168,0"
527,"5349,0","5202,0","5275,5","73,5"
528,"5469,0","5448,0","5458,5","10,5"
529,"5475,0","5568,0","5521,5","46,5"
530,"6195,0","5334,0","5764,5","430,5"
531,"5715,0","5091,0","5403,0","312,0"
532,"5955,0","5340,0","5647,5","307,5"
533,"5481,0","5700,0","5590,5","109,5"
534,"5004,0","5826,0","5415,0","411,0"
535,"5004,0","5832,0","5418,0","414,0"
536,"4644,0","5367,0","5005,5","361,5"
537,"4761,0","5250,0","5005,5","244,5"
538,"4767,0","5856,0","5311,5","544,5"
539,"4893,0","5613,0","5253,0","360,0"
540,"4773,0","5730,0","5251,5","478,5"
541,"5502,0","5736,0","5619,0","117,0"
542,"5028,0","4668,0","4848,0","180,0"
543,"5145,0","4197,0","4671,0","474,0"
544,"4905,0","4320,0","4612,5","292,5"
545,"4071,0","4800,0","4435,5","364,5"
546,"4191,0","4437,0","4314,0","123,0"
547,"4431,0","4200,0","4315,5","115,5"
548,"4074,0","4683,0","4378,5","304,5"
549,"3951,0","4806,0","4378,5","427,5"
550,"4317,0","4323,0","4320,0","3,0"
551,"4689,0","3735,0","4212,0","477,0"
552,"5532,0","3261,0","4396,5","1135,5"
553,"5418,0","3501,0","4459,5","958,5"
554,"5415,0","4104,0","4759,5","655,5"
555,"4815,0","4464,0","4639,5","175,5"
556,"4698,0","5307,0","5002,5","304,5"
557,"4710,0","5424,0","5067,0","357,0"
558,"4710,0","5673,0","5191,5","481,5"
559,"4353,0","6033,0","5193,0","840,0"
560,"3885,0","6159,0","5022,0","1137,0"
561,"4248,0","5925,0","5086,5","838,5"
562,"4734,0","5808,0","5271,0","537,0"
563,"4986,0","5088,0","5037,0","51,0"
564,"5829,0","4260,0","5044,5","784,5"
565,"5844,0","3789,0","4816,5","1027,5"
566,"5853,0","3669,0","4761,0","1092,0"
567,"5862,0","4161,0","5011,5","850,5"
568,"5499,0","4890,0","5194,5","304,5"
569,"6474,0","4770,0","5622,0","852,0"
570,"6123,0","4293,0","5208,0","915,0"
571,"6249,0","4536,0","5392,5","856,5"
572,"6252,0","4176,0","5214,0","1038,0"
573,"5778,0","4059,0","4918,5","859,5"
574,"5058,0","4299,0","4678,5","379,5"
575,"4827,0","4293,0","4560,0","267,0"
576,"4953,0","4299,0","4626,0","327,0"
577,"4605,0","4656,0","4630,5","25,5"
578,"4977,0","4785,0","4881,0","96,0"
579,"4263,0","4422,0","4342,5","79,5"
580,"3786,0","4416,0","4101,0","315,0"
581,"3792,0","4662,0","4227,0","435,0"
582,"4638,0","4428,0","4533,0","105,0"
583,"4392,0","4308,0","4350,0","42,0"
584,"4389,0","4326,0","4357,5","31,5"
585,"3675,0","4446,0","4060,5","385,5"
586,"4155,0","4074,0","4114,5","40,5"
587,"4155,0","4191,0","4173,0","18,0"
588,"4641,0","4074,0","4357,5","283,5"
589,"5358,0","4203,0","4780,5","577,5"
590,"5970,0","4212,0","5091,0","879,0"
591,"5853,0","3609,0","4731,0","1122,0"
592,"6099,0","3372,0","4735,5","1363,5"
593,"5982,0","3627,0","4804,5","1177,5"
594,"5145,0","3999,0","4572,0","573,0"
595,"4800,0","3993,0","4396,5","403,5"
596,"4575,0","4239,0","4407,0","168,0"
597,"4698,0","4116,0","4407,0","291,0"
598,"4224,0","4011,0","4117,5","106,5"
599,"3753,0","3537,0","3645,0","108,0"
600,"3630,0","3423,0","3526,5","103,5"
601,"3747,0","4269,0","4008,0","261,0"
602,"3753,0","4869,0","4311,0","558,0"
603,"3519,0","4998,0","4258,5","739,5"
604,"3654,0","4644,0","4149,0","495,0"
605,"3423,0","4662,0","4042,5","619,5"
606,"3906,0","4905,0","4405,5","499,5"
607,"3795,0","5388,0","4591,5","796,5"
608,"3924,0","5391,0","4657,5","733,5"
609,"4167,0","5637,0","4902,0","735,0"
