,t_fcs_ida,E_fcs_ida,delta_rec_ida,carga_ida,t_fcs_vuelta,E_fcs_vuelta,delta_rec_vuelta,carga_vuelta,t_llegada_casa,E_casa,delta_home,Pot_dom
226,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1136.0,0,0,0
227,0.0,0.0,0.0,0,1095.0,18.463625269538376,9.0,120,1132.0,0,0,0
228,0.0,0.0,0.0,0,1496.0,18.94595875877652,9.0,120,1516.0,0,0,0
229,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1098.0,0,0,0
230,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1259.0,0,0,0
231,0.0,0.0,0.0,0,0.0,0.0,0.0,0,859.0,0,0,0
232,983.0,19.431499048888778,0.0,120,0.0,0.0,0.0,0,1118.0,0,0,0
233,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1127.0,0,0,0
234,0.0,0.0,0.0,0,0.0,0.0,0.0,0,983.0,0,0,0
235,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1105.0,0,0,0
236,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1083.0,0,0,0
237,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1463.0,0,0,0
238,0.0,0.0,0.0,0,0.0,0.0,0.0,0,864.0,0,0,0
239,0.0,0.0,0.0,0,973.0,19.875038598739604,0.0,120,1004.0,0,0,0
240,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1291.0,0,0,0
241,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1298.0,0,0,0
242,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1288.0,0,0,0
243,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1284.0,0,0,0
244,0.0,0.0,0.0,0,883.0,18.160493611982996,9.0,120,918.0,0,0,0
245,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1199.0,0,0,0
246,0.0,0.0,0.0,0,741.0,18.68703785886991,9.0,120,762.0,0,0,0
247,0.0,0.0,0.0,0,0.0,0.0,0.0,0,980.0,0,0,0
248,0.0,0.0,0.0,0,906.0,16.39668962694469,0.0,120,938.0,0,0,0
249,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1484.0,0,0,0
250,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1159.0,0,0,0
251,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1246.0,0,0,0
252,0.0,0.0,0.0,0,1041.0,21.944429595958056,11.0,120,1064.0,0,0,0
253,0.0,0.0,0.0,0,0.0,0.0,0.0,0,998.0,0,0,0
254,0.0,0.0,0.0,0,1098.0,17.95524260485048,0.0,120,1130.0,0,0,0
255,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1206.0,0,0,0
256,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1102.0,0,0,0
257,0.0,0.0,0.0,0,1271.0,19.97233827657653,10.0,120,1300.0,0,0,0
258,0.0,0.0,0.0,0,974.0,20.97480798853724,10.0,120,995.0,0,0,0
259,0.0,0.0,0.0,0,0.0,0.0,0.0,0,841.0,0,0,0
260,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1293.0,0,0,0
261,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1072.0,0,0,0
262,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1032.0,0,0,0
263,0.0,0.0,0.0,0,1251.0,19.257733637513272,0.0,120,1292.0,0,0,0
264,0.0,0.0,0.0,0,1205.0,19.10786255945215,0.0,120,1224.0,0,0,0
265,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1077.0,0,0,0
266,0.0,0.0,0.0,0,1091.0,19.874228111583083,10.0,120,1113.0,0,0,0
267,0.0,0.0,0.0,0,921.0,18.225282702161667,0.0,120,957.0,0,0,0
